"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"faimas","Merulinidae_spp1_massive","Merulinidae.spp1","spp1_massive","Scleractinian","Hard coral_massive"
"fimmas","Fimbriaphyllia_massive","Fimbriaphyllia","massive","Scleractinian","Hard coral_massive"
"fistws","fishing_lines_tws","fishing.lines","lines_tws","Other","Artificial Debris"
"foroth","Foraminifera_other_life","Foraminifera","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"funmas","Fungiidae_massive","Fungiidae","massive","Scleractinian","Hard coral_massive"
"galenc","Galaxea_encrusting","Galaxea","encrusting","Scleractinian","Hard coral_encrusting"
"galmas","Galaxea_massive","Galaxea","massive","Scleractinian","Hard coral_massive"
"garenc","Gardineroseris_encrusting","Gardineroseris","encrusting","Scleractinian","Hard coral_encrusting"
"garmas","Gardineroseris_massive","Gardineroseris","massive","Scleractinian","Hard coral_massive"
"gasoth","Gastropoda_other_life","Gastropoda","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"glaart","Galaxaura_articulated_calcareous","Galaxaura","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"gnicol","Goniopora_columnar","Goniopora","columnar","Scleractinian","Hard coral_columnar"
"gnienc","Goniopora_encrusting","Goniopora","encrusting","Scleractinian","Hard coral_encrusting"
"gnimas","Goniopora_massive","Goniopora","massive","Scleractinian","Hard coral_massive"
"gonenc","Merulinidae_spp1_encrusting","Merulinidae.spp1","spp1_encrusting","Scleractinian","Hard coral_encrusting"
"gonmas","Merulinidae_spp1_massive","Merulinidae.spp1","spp1_massive","Scleractinian","Hard coral_massive"
"gracom","Gracilaria_corticated_macrophyte","Gracilaria","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"gravus","gravel/small rubble_unstable_substrate","gravel/small rubble","unstable_substrate","Unstable Substrate","Unstable substrate"
"hacenc","hard_coral_encrusting","hard.coral","coral_encrusting","Scleractinian","Hard coral_encrusting"
"halart","Halimeda_articulated_calcareouseous","Halimeda","articulated_calcareouseous","Macroalgae","Macroalgae_articulated_calcareous"
"halova","Halophila_ovalis_seagrass","Halophila","ovalis_seagrass","Seagrass","Seagrass"
"helbus","Heliopora_bushy","Heliopora","bushy","Scleractinian","Hard coral_bushy"
"helenc","Heliopora_encrusting","Heliopora","encrusting","Scleractinian","Hard coral_encrusting"
